lng,ltd,vessel_name

-1.2734583333333334,116.80608833333334,SINDANG
-2.2433633333333334,105.13112,MUSI
-2.0889533333333334,105.00131333333333,KUANG
-2.3035916666666667,105.57386,PANDAN
-1.290105,116.808835,SINDANG
-2.2296416666666667,105.111895,MUSI
-2.2178633333333333,105.23878833333333,KUANG
-2.528268333333333,117.13900666666666,PANDAN
-1.2904483333333334,116.82445666666666,SINDANG
-2.2124883333333334,105.089235,MUSI
-2.223695,105.269,KUANG
-2.5584516666666666,117.13660333333333,PANDAN
-1.2883883333333332,116.848145,SINDANG
-2.198078333333333,105.07000833333333,MUSI
-2.233645,105.30024333333333,KUANG
-2.5899483333333335,117.13407166666667,PANDAN
-1.287015,116.86651333333333,SINDANG
-2.1788666666666665,105.05387333333333,MUSI
-2.2408483333333336,105.328395,KUANG
-2.6221883333333333,117.13201333333333,PANDAN
-1.2859866666666666,116.88436666666666,SINDANG
-2.15691,105.03705,MUSI
-2.24668,105.36187,KUANG
-2.6523683333333334,117.13235666666667,PANDAN
-1.2839266666666667,116.90324833333334,SINDANG
-2.1325250000000002,105.02380166666667,MUSI
-2.2524766666666665,105.39155666666667,KUANG
-2.68049,117.13201333333333,PANDAN
-1.278435,116.91921333333333,SINDANG
-2.1122833333333335,105.01333,MUSI
-2.2559066666666667,105.420395,KUANG
-2.7106683333333335,117.13029666666667,PANDAN
-1.2751733333333333,116.93123,SINDANG
-2.0889533333333334,105.00131333333333,MUSI
-2.2627683333333333,105.45026333333334,KUANG
-2.7401483333333334,117.12967666666667,PANDAN
-1.2741449999999999,116.94496333333333,SINDANG
-2.2686,105.48219333333333,KUANG
-2.768955,117.12830333333333,PANDAN
-1.2799800000000001,116.95680666666667,SINDANG
-2.280263333333333,105.51686833333333,KUANG
-2.8015316666666665,117.12796,PANDAN
-2.292613333333333,105.54673833333334,KUANG
-2.8330783333333334,117.12830333333333,PANDAN
-2.3035916666666667,105.57386,KUANG
-2.867025,117.12555833333333,PANDAN
-2.897543333333333,117.12504333333334,PANDAN
-2.9332016666666667,117.1247,PANDAN
-2.9308016666666665,117.12555833333333,PANDAN